City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
326,Chapais,CA,49.7834,-74.8492,10.4,72,90,3.44,light snow
327,Kungurtug,RU,50.5994,97.5228,26.67,84,100,9.08,overcast clouds
328,Porto Santo,PT,33.072,-16.3415,62.6,82,20,10.36,few clouds
329,Naberera,TZ,-4.2,36.9333,63.99,96,100,8.77,light rain
330,Chernyshevskiy,RU,63.0128,112.4714,-13.58,91,100,10.6,overcast clouds
331,Pacific Grove,US,36.6177,-121.9166,57.99,76,75,3.44,broken clouds
332,Desa,RO,43.8667,23.0333,51.01,69,100,4.05,overcast clouds
333,Igarka,RU,67.4667,86.5833,-0.76,92,100,10.76,light snow
334,Vardo,NO,70.3705,31.1107,21.2,79,75,23.02,light snow
335,Bandiagara,ML,14.3501,-3.6104,82.02,15,0,8.63,clear sky
336,Alofi,NU,-19.0595,-169.9187,80.6,89,75,8.05,broken clouds
337,North Platte,US,41.1239,-100.7654,8.6,66,75,8.05,broken clouds
338,Maku,IR,39.2911,44.4521,34.93,79,0,8.68,clear sky
339,Dutse,NG,11.7594,9.3392,74.68,18,20,6.87,few clouds
340,Boden,SE,65.8252,21.6886,-0.4,85,93,3.44,overcast clouds
341,Kruisfontein,ZA,-34.0033,24.7314,66.99,85,0,1.01,clear sky
342,Tambo,PE,-14.8,-73.9167,42.17,97,97,10.36,light rain
343,Santo Tomas,PH,14.1079,121.1414,75.2,88,90,2.3,overcast clouds
344,Vung Tau,VN,10.346,107.0843,75.9,86,87,14.58,overcast clouds
345,Perove,UA,44.9333,34.0667,46.99,60,47,6.58,scattered clouds
